st_mun_id,cases,death,covid19,coviddeath,male,indigenous,usmer,hospital,edad,state,class
15066,2,0,0,0,0,0,0,0,33.5,15,1
15067,65,1,14,1,32,1,31,32,42.892307,15,3
15068,43,1,10,1,17,0,4,12,38.255814,15,3
15069,3,0,1,0,2,0,1,0,45.333332,15,1
15070,395,16,150,14,227,2,86,172,46.324051,15,3
15071,5,0,0,0,2,0,0,1,43.400002,15,1
15072,25,1,3,0,10,0,1,2,46.439999,15,2
15073,49,1,6,1,24,1,7,7,42.959183,15,3
15074,99,4,20,3,53,22,24,47,41.474747,15,3
15075,29,0,6,0,12,0,2,2,41.172413,15,1
15076,87,2,20,0,51,1,19,32,41.942528,15,2
15077,3,0,1,0,2,0,1,2,48.333332,15,1
15078,13,0,0,0,4,0,1,1,33.307693,15,1
15079,26,4,3,3,9,0,2,7,48.384617,15,3
15080,29,2,1,1,12,1,4,5,38.655174,15,3
15081,656,23,222,18,336,4,255,192,43.533535,15,3
15082,93,4,2,1,45,1,57,13,35.935482,15,3
15083,19,1,9,1,10,1,3,6,38.789474,15,3
15084,22,3,6,2,15,0,7,9,34.863636,15,3
15085,67,3,3,2,37,1,13,10,38.537312,15,3
15086,18,0,2,0,10,1,4,5,38.277779,15,1
15087,82,4,27,3,50,4,43,51,41.695122,15,3
15088,167,2,11,1,56,0,109,20,39.832336,15,3
15089,7,0,1,0,2,1,0,4,43,15,1
15090,114,1,21,1,59,1,41,36,42.666668,15,3
15091,56,1,19,1,28,0,19,23,41.535713,15,3
15092,71,5,12,3,31,0,12,25,42,15,3
15093,15,1,6,1,8,0,2,7,47.599998,15,3
15094,24,4,12,3,11,0,4,13,43.791668,15,3
15095,70,2,21,2,39,0,26,35,50.400002,15,3
15096,16,0,2,0,7,0,9,10,44.375,15,1
15097,15,0,0,0,5,0,2,5,41.200001,15,1
15098,4,0,1,0,2,0,1,1,43.5,15,1
15099,319,14,104,9,170,5,93,111,44.708466,15,3
15100,41,1,16,0,22,0,11,8,40.585365,15,2
15101,69,2,12,1,34,3,15,14,41.217392,15,3
15102,15,0,1,0,5,0,4,4,40.666668,15,1
15103,104,1,29,1,48,0,28,27,42.740383,15,3
15104,1627,46,437,33,800,15,406,348,43.020897,15,3
15105,1,0,0,0,0,0,0,1,39,15,1
15106,1450,21,282,14,730,12,466,403,41.633793,15,3
15107,20,0,0,0,6,0,2,1,32.150002,15,1
15108,178,12,57,9,92,1,51,50,42.820225,15,3
15109,584,35,236,25,315,3,229,269,45.719177,15,3
15110,111,3,8,1,51,3,8,22,40.873875,15,3
15111,16,1,1,0,6,0,3,4,39.875,15,2
15112,16,0,3,0,9,0,4,6,44.25,15,1
15113,28,3,2,1,13,0,13,14,39.82143,15,3
15114,47,3,4,0,24,3,9,15,34.042553,15,2
15115,89,3,24,2,39,0,32,31,43.179775,15,3
15116,14,0,1,0,9,0,0,0,42.42857,15,1
15117,4,0,0,0,3,0,2,4,47,15,1
15118,159,7,36,5,90,1,58,63,42.106918,15,3
15119,31,0,2,0,16,0,14,3,37.387096,15,1
15120,205,12,60,8,105,1,93,79,42.009758,15,3
15121,590,34,208,18,288,1,164,233,46.228813,15,3
15122,402,44,178,37,235,4,228,276,47.584576,15,3
15123,7,1,0,0,3,0,1,3,47.714287,15,2
15124,38,4,6,2,23,2,10,16,45.13158,15,3
15125,15,0,4,0,6,0,9,5,43.400002,15,1
16001,1,0,0,0,1,0,0,0,40,16,1
16002,1,0,0,0,1,0,1,1,41,16,1
16003,24,3,4,2,14,0,4,6,42.333332,16,3
16004,13,1,0,0,4,1,2,4,44.53846,16,2
16005,4,0,0,0,3,0,3,2,51.5,16,1
16006,104,2,28,1,60,1,16,33,40.442307,16,3
16007,3,0,0,0,0,0,0,1,36.333332,16,1
16008,4,0,0,0,3,0,0,2,35,16,1
16009,8,0,1,0,3,0,5,2,44,16,1
16010,8,2,4,2,4,0,3,3,40.75,16,3
16012,17,1,1,0,6,1,1,4,32.235294,16,2
16013,5,0,0,0,3,0,1,0,49.599998,16,1
16014,3,0,1,0,2,0,1,1,40.666668,16,1
16015,4,0,0,0,2,0,0,2,56,16,1
16017,3,0,0,0,0,0,1,1,22.666666,16,1
16018,49,1,4,0,26,0,3,3,31.469387,16,2
16019,10,0,1,0,8,0,0,1,43.700001,16,1
16020,30,1,1,1,11,0,4,4,31.733334,16,3
16022,24,2,0,0,10,0,5,6,49.166668,16,2
16023,10,0,3,0,5,0,1,1,38.599998,16,1
16024,5,0,0,0,3,2,3,2,31.200001,16,1
16025,16,0,2,0,12,4,2,5,47.1875,16,1
16027,16,0,0,0,6,0,0,0,40.3125,16,1
16028,6,0,1,0,4,0,2,2,21.5,16,1
16030,3,2,0,0,2,0,2,2,34,16,2
16031,5,0,0,0,1,0,1,1,28.799999,16,1
16032,9,2,3,1,5,0,4,6,48.444443,16,3
16033,13,0,2,0,5,0,6,4,34.846153,16,1
16034,40,1,5,0,22,0,2,9,42.200001,16,2
16035,20,0,2,0,11,0,3,3,37.400002,16,1
16036,41,0,5,0,21,1,1,1,34.878048,16,1
16037,4,1,0,0,2,0,1,1,41.5,16,2
16038,26,4,3,2,14,0,4,7,38.576923,16,3
16039,2,0,1,0,0,0,1,2,33,16,1
16040,29,0,0,0,7,0,3,1,38.931034,16,1
16041,10,0,3,0,5,0,2,1,37.700001,16,1
16042,21,0,2,0,9,0,0,1,31.095238,16,1
16043,28,0,2,0,15,0,1,11,46.57143,16,1
16044,3,0,0,0,2,0,0,1,83,16,1
16045,9,2,1,1,6,1,1,4,39.444443,16,3
16046,15,1,6,1,12,0,6,3,45.400002,16,3
16047,6,0,2,0,1,0,3,3,45.333332,16,1
16048,1,0,0,0,0,0,1,1,51,16,1
16049,1,1,1,1,1,0,1,1,52,16,3
16050,69,0,12,0,31,0,5,4,38.768116,16,1
16051,2,0,0,0,1,0,0,0,44,16,1
16052,948,38,367,32,571,5,406,165,42.023209,16,3
16053,638,22,75,8,267,5,272,146,41.007835,16,3
16054,7,0,0,0,4,0,1,1,35.57143,16,1
16055,28,1,2,0,14,0,4,13,37.214287,16,2
16056,9,0,0,0,4,2,1,4,35.444443,16,1
16057,3,0,1,0,1,0,0,1,23.666666,16,1
16058,2,1,0,0,1,0,2,1,27.5,16,2
16059,1,1,1,1,0,0,1,1,85,16,3
16060,13,0,1,0,9,0,3,2,31.538462,16,1
16061,3,1,1,1,1,0,2,1,47,16,3
16062,1,0,0,0,0,0,0,1,67,16,1
16063,2,1,2,1,1,0,0,1,59.5,16,3
16064,5,1,1,0,4,0,2,2,58.599998,16,2
16065,10,0,1,0,5,2,6,6,42.299999,16,1
16066,43,2,13,1,15,6,27,9,34.418606,16,3
16067,2,0,0,0,0,0,0,0,33,16,1
16068,7,0,0,0,1,0,0,4,50.142857,16,1
16069,103,4,13,2,45,2,15,28,41.980583,16,3
16071,27,1,2,0,13,0,1,3,43.962963,16,2
16072,17,0,0,0,8,0,3,2,32.882355,16,1
16073,4,1,0,0,2,1,1,3,26.5,16,2
16075,30,3,0,0,14,2,2,7,40.233334,16,2
16076,23,1,3,1,13,0,0,4,55.826088,16,3
16077,6,1,1,0,3,0,2,3,37.5,16,2
16078,58,0,10,0,31,0,1,0,36.413792,16,1
16079,7,0,2,0,4,0,6,5,32.42857,16,1
16080,3,0,0,0,3,0,0,1,39,16,1
16081,9,0,6,0,4,0,5,3,49.888889,16,1
16082,21,1,1,1,11,0,10,12,34.666668,16,3
16083,6,0,1,0,3,0,4,5,57.166668,16,1
16084,6,1,1,0,4,1,2,1,63.166668,16,2
16085,5,0,0,0,3,0,1,2,51.599998,16,1
16086,15,0,1,0,6,0,2,4,43.599998,16,1
16087,10,0,0,0,4,0,10,4,29.6,16,1
16088,32,2,2,0,15,1,8,8,38.0625,16,2
16089,6,0,0,0,4,0,0,2,37.666668,16,1
16090,7,0,0,0,1,1,6,3,54.42857,16,1
16091,4,0,0,0,0,0,0,0,40.25,16,1
16093,15,0,7,0,6,0,3,3,40.066666,16,1
16094,3,1,0,0,1,0,3,3,78.333336,16,2
16095,3,0,0,0,2,0,0,3,44.333332,16,1
16096,1,0,0,0,0,0,0,0,66,16,1
